fight_id,fight_url,date,game,away_team,away_team_name,home_team,home_team_name,away_player,away_player_name,away_player_got_fm,home_player,home_player_name,home_player_got_fm,fight_period,fight_minutes,fight_seconds,fight_votes,fight_votes_rating_sum,fight_votes_away_win,fight_votes_home_win,fight_votes_draw
123320,http://www.hockeyfights.com/fights/123320,"Mar 12, 2014",http://www.hockeyfights.com/games/158618,http://www.hockeyfights.com/teams/1,Anaheim Ducks,http://www.hockeyfights.com/teams/5,Calgary Flames,http://www.hockeyfights.com/players/617,Bryan Allen,TRUE,http://www.hockeyfights.com/players/52,Brian McGrattan,TRUE,1,14,22,149,796,6,129,14
123319,http://www.hockeyfights.com/fights/123319,"Mar 12, 2014",http://www.hockeyfights.com/games/158617,http://www.hockeyfights.com/teams/7,Chicago Blackhawks,http://www.hockeyfights.com/teams/8,Colorado Avalanche,http://www.hockeyfights.com/players/1497,Sheldon Brookbank,TRUE,http://www.hockeyfights.com/players/1229,Cody McLeod,TRUE,1,9,36,85,452,12,24,49
123316,http://www.hockeyfights.com/fights/123316,"Mar 12, 2014",http://www.hockeyfights.com/games/158616,http://www.hockeyfights.com/teams/29,Vancouver Canucks,http://www.hockeyfights.com/teams/31,Winnipeg Jets,http://www.hockeyfights.com/players/2006,Tom Sestito,TRUE,http://www.hockeyfights.com/players/2747,Anthony Peluso,TRUE,1,2,25,165,944,58,66,41
123317,http://www.hockeyfights.com/fights/123317,"Mar 12, 2014",http://www.hockeyfights.com/games/158615,http://www.hockeyfights.com/teams/3,Boston Bruins,http://www.hockeyfights.com/teams/16,Montreal Canadiens,http://www.hockeyfights.com/players/16499,Kevan Miller,TRUE,http://www.hockeyfights.com/players/2257,Brandon Prust,TRUE,2,9,52,331,1611,113,171,47
123312,http://www.hockeyfights.com/fights/123312,"Mar 11, 2014",http://www.hockeyfights.com/games/158614,http://www.hockeyfights.com/teams/28,Toronto Maple Leafs,http://www.hockeyfights.com/teams/25,San Jose Sharks,http://www.hockeyfights.com/players/2157,Joffrey Lupul,TRUE,http://www.hockeyfights.com/players/6394,Tommy Wingels,TRUE,3,16,56,88,281,2,72,14
123311,http://www.hockeyfights.com/fights/123311,"Mar 11, 2014",http://www.hockeyfights.com/games/158614,http://www.hockeyfights.com/teams/28,Toronto Maple Leafs,http://www.hockeyfights.com/teams/25,San Jose Sharks,http://www.hockeyfights.com/players/838,Tim Gleason,TRUE,http://www.hockeyfights.com/players/1841,Andrew Desjardins,TRUE,3,14,42,93,525,81,5,7
123310,http://www.hockeyfights.com/fights/123310,"Mar 11, 2014",http://www.hockeyfights.com/games/158614,http://www.hockeyfights.com/teams/28,Toronto Maple Leafs,http://www.hockeyfights.com/teams/25,San Jose Sharks,http://www.hockeyfights.com/players/2288,David Clarkson,TRUE,http://www.hockeyfights.com/players/1841,Andrew Desjardins,TRUE,2,15,4,64,95,1,16,47
123303,http://www.hockeyfights.com/fights/123303,"Mar 11, 2014",http://www.hockeyfights.com/games/158614,http://www.hockeyfights.com/teams/28,Toronto Maple Leafs,http://www.hockeyfights.com/teams/25,San Jose Sharks,http://www.hockeyfights.com/players/1226,Troy Bodie,TRUE,http://www.hockeyfights.com/players/2760,Mike Brown,TRUE,1,4,26,110,580,11,76,23
123298,http://www.hockeyfights.com/fights/123298,"Mar 11, 2014",http://www.hockeyfights.com/games/158606,http://www.hockeyfights.com/teams/17,Nashville Predators,http://www.hockeyfights.com/teams/4,Buffalo Sabres,http://www.hockeyfights.com/players/1684,Paul Gaustad,TRUE,http://www.hockeyfights.com/players/1692,Zenon Konopka,TRUE,2,9,20,59,157,3,14,42
123291,http://www.hockeyfights.com/fights/123291,"Mar 10, 2014",http://www.hockeyfights.com/games/158605,http://www.hockeyfights.com/teams/28,Toronto Maple Leafs,http://www.hockeyfights.com/teams/1,Anaheim Ducks,http://www.hockeyfights.com/players/2288,David Clarkson,TRUE,http://www.hockeyfights.com/players/617,Bryan Allen,TRUE,2,4,47,86,313,62,3,21
123290,http://www.hockeyfights.com/fights/123290,"Mar 10, 2014",http://www.hockeyfights.com/games/158605,http://www.hockeyfights.com/teams/28,Toronto Maple Leafs,http://www.hockeyfights.com/teams/1,Anaheim Ducks,http://www.hockeyfights.com/players/838,Tim Gleason,TRUE,http://www.hockeyfights.com/players/5745,Patrick Maroon,TRUE,1,17,26,74,275,62,0,12
123289,http://www.hockeyfights.com/fights/123289,"Mar 10, 2014",http://www.hockeyfights.com/games/158605,http://www.hockeyfights.com/teams/28,Toronto Maple Leafs,http://www.hockeyfights.com/teams/1,Anaheim Ducks,http://www.hockeyfights.com/players/2288,David Clarkson,TRUE,http://www.hockeyfights.com/players/7947,Ben Lovejoy,TRUE,1,14,9,91,404,52,16,23
123288,http://www.hockeyfights.com/fights/123288,"Mar 10, 2014",http://www.hockeyfights.com/games/158599,http://www.hockeyfights.com/teams/17,Nashville Predators,http://www.hockeyfights.com/teams/21,Ottawa Senators,http://www.hockeyfights.com/players/2367,Rich Clune,TRUE,http://www.hockeyfights.com/players/16,Chris Neil,TRUE,1,7,6,85,352,46,7,32
123268,http://www.hockeyfights.com/fights/123268,"Mar 09, 2014",http://www.hockeyfights.com/games/158596,http://www.hockeyfights.com/teams/26,St. Louis Blues,http://www.hockeyfights.com/teams/15,Minnesota Wild,http://www.hockeyfights.com/players/592,Steve Ott,TRUE,http://www.hockeyfights.com/players/2101,Kyle Brodziak,TRUE,1,2,0,89,342,21,25,43
123201,http://www.hockeyfights.com/fights/123201,"Mar 08, 2014",http://www.hockeyfights.com/games/158592,http://www.hockeyfights.com/teams/16,Montreal Canadiens,http://www.hockeyfights.com/teams/25,San Jose Sharks,http://www.hockeyfights.com/players/13723,Jarred Tinordi,TRUE,http://www.hockeyfights.com/players/819,Raffi Torres,TRUE,2,4,19,125,534,111,5,9
123186,http://www.hockeyfights.com/fights/123186,"Mar 08, 2014",http://www.hockeyfights.com/games/158591,http://www.hockeyfights.com/teams/5,Calgary Flames,http://www.hockeyfights.com/teams/29,Vancouver Canucks,http://www.hockeyfights.com/players/2126,Mark Giordano,TRUE,http://www.hockeyfights.com/players/1562,Kevin Bieksa,TRUE,1,6,53,93,427,5,84,4
123183,http://www.hockeyfights.com/fights/123183,"Mar 08, 2014",http://www.hockeyfights.com/games/158589,http://www.hockeyfights.com/teams/9,Columbus Blue Jackets,http://www.hockeyfights.com/teams/17,Nashville Predators,http://www.hockeyfights.com/players/5692,Corey Tropp,TRUE,http://www.hockeyfights.com/players/3062,Eric Nystrom,TRUE,2,6,52,50,231,2,34,14
123178,http://www.hockeyfights.com/fights/123178,"Mar 08, 2014",http://www.hockeyfights.com/games/158586,http://www.hockeyfights.com/teams/3,Boston Bruins,http://www.hockeyfights.com/teams/27,Tampa Bay Lightning,http://www.hockeyfights.com/players/299,Shawn Thornton,TRUE,http://www.hockeyfights.com/players/3089,Keith Aulie,TRUE,1,7,59,229,1386,133,37,59
123179,http://www.hockeyfights.com/fights/123179,"Mar 08, 2014",http://www.hockeyfights.com/games/158585,http://www.hockeyfights.com/teams/22,Philadelphia Flyers,http://www.hockeyfights.com/teams/28,Toronto Maple Leafs,http://www.hockeyfights.com/players/3264,Jay Rosehill,TRUE,http://www.hockeyfights.com/players/1236,Frazer McLaren,TRUE,2,8,19,288,2316,161,45,82
123177,http://www.hockeyfights.com/fights/123177,"Mar 08, 2014",http://www.hockeyfights.com/games/158583,http://www.hockeyfights.com/teams/21,Ottawa Senators,http://www.hockeyfights.com/teams/31,Winnipeg Jets,http://www.hockeyfights.com/players/7764,Jared Cowen,TRUE,http://www.hockeyfights.com/players/2747,Anthony Peluso,TRUE,2,5,29,94,608,2,84,8
123093,http://www.hockeyfights.com/fights/123093,"Mar 07, 2014",http://www.hockeyfights.com/games/158582,http://www.hockeyfights.com/teams/24,Pittsburgh Penguins,http://www.hockeyfights.com/teams/1,Anaheim Ducks,http://www.hockeyfights.com/players/5561,Tanner Glass,TRUE,http://www.hockeyfights.com/players/5745,Patrick Maroon,TRUE,1,8,21,77,281,6,35,36
123080,http://www.hockeyfights.com/fights/123080,"Mar 06, 2014",http://www.hockeyfights.com/games/158576,http://www.hockeyfights.com/teams/19,New York Islanders,http://www.hockeyfights.com/teams/12,Edmonton Oilers,http://www.hockeyfights.com/players/4999,Matt Martin,TRUE,http://www.hockeyfights.com/players/2291,Mark Fraser,TRUE,3,18,12,143,810,59,59,25
123060,http://www.hockeyfights.com/fights/123060,"Mar 05, 2014",http://www.hockeyfights.com/games/158567,http://www.hockeyfights.com/teams/16,Montreal Canadiens,http://www.hockeyfights.com/teams/1,Anaheim Ducks,http://www.hockeyfights.com/players/1859,George Parros,TRUE,http://www.hockeyfights.com/players/1748,Tim Jackman,TRUE,1,5,3,113,412,97,8,8
123065,http://www.hockeyfights.com/fights/123065,"Mar 05, 2014",http://www.hockeyfights.com/games/158566,http://www.hockeyfights.com/teams/21,Ottawa Senators,http://www.hockeyfights.com/teams/5,Calgary Flames,http://www.hockeyfights.com/players/2481,Bobby Ryan,TRUE,http://www.hockeyfights.com/players/1671,Kris Russell,TRUE,2,16,5,69,220,49,3,17
123056,http://www.hockeyfights.com/fights/123056,"Mar 05, 2014",http://www.hockeyfights.com/games/158565,http://www.hockeyfights.com/teams/30,Washington Capitals,http://www.hockeyfights.com/teams/22,Philadelphia Flyers,http://www.hockeyfights.com/players/459,John Erskine,TRUE,http://www.hockeyfights.com/players/374,Vincent Lecavalier,TRUE,1,11,59,194,1007,134,42,18
123055,http://www.hockeyfights.com/fights/123055,"Mar 05, 2014",http://www.hockeyfights.com/games/158565,http://www.hockeyfights.com/teams/30,Washington Capitals,http://www.hockeyfights.com/teams/22,Philadelphia Flyers,http://www.hockeyfights.com/players/15477,Tom Wilson,TRUE,http://www.hockeyfights.com/players/2771,Luke Schenn,TRUE,1,11,59,114,548,25,81,8
123037,http://www.hockeyfights.com/fights/123037,"Mar 04, 2014",http://www.hockeyfights.com/games/158560,http://www.hockeyfights.com/teams/19,New York Islanders,http://www.hockeyfights.com/teams/31,Winnipeg Jets,http://www.hockeyfights.com/players/31,Eric Boulton,TRUE,http://www.hockeyfights.com/players/2987,Mark Stuart,TRUE,1,15,7,48,89,22,0,26
123033,http://www.hockeyfights.com/fights/123033,"Mar 04, 2014",http://www.hockeyfights.com/games/158560,http://www.hockeyfights.com/teams/19,New York Islanders,http://www.hockeyfights.com/teams/31,Winnipeg Jets,http://www.hockeyfights.com/players/4999,Matt Martin,TRUE,http://www.hockeyfights.com/players/1493,Chris Thorburn,TRUE,1,2,31,67,331,46,8,13
123039,http://www.hockeyfights.com/fights/123039,"Mar 04, 2014",http://www.hockeyfights.com/games/158559,http://www.hockeyfights.com/teams/24,Pittsburgh Penguins,http://www.hockeyfights.com/teams/17,Nashville Predators,http://www.hockeyfights.com/players/5388,Robert Bortuzzo,TRUE,http://www.hockeyfights.com/players/8171,Colin Wilson,TRUE,1,19,36,75,380,67,3,5
123038,http://www.hockeyfights.com/fights/123038,"Mar 04, 2014",http://www.hockeyfights.com/games/158554,http://www.hockeyfights.com/teams/13,Florida Panthers,http://www.hockeyfights.com/teams/3,Boston Bruins,http://www.hockeyfights.com/players/598,Krys Barch,TRUE,http://www.hockeyfights.com/players/299,Shawn Thornton,TRUE,2,11,56,259,1256,100,78,81
123032,http://www.hockeyfights.com/fights/123032,"Mar 04, 2014",http://www.hockeyfights.com/games/158554,http://www.hockeyfights.com/teams/13,Florida Panthers,http://www.hockeyfights.com/teams/3,Boston Bruins,http://www.hockeyfights.com/players/598,Krys Barch,TRUE,http://www.hockeyfights.com/players/2638,Milan Lucic,TRUE,1,4,16,335,1739,151,98,86
123022,http://www.hockeyfights.com/fights/123022,"Mar 03, 2014",http://www.hockeyfights.com/games/158553,http://www.hockeyfights.com/teams/16,Montreal Canadiens,http://www.hockeyfights.com/teams/14,Los Angeles Kings,http://www.hockeyfights.com/players/13723,Jarred Tinordi,TRUE,http://www.hockeyfights.com/players/7404,Kyle Clifford,TRUE,1,8,15,124,647,41,32,51
123009,http://www.hockeyfights.com/fights/123009,"Mar 02, 2014",http://www.hockeyfights.com/games/158549,http://www.hockeyfights.com/teams/6,Carolina Hurricanes,http://www.hockeyfights.com/teams/1,Anaheim Ducks,http://www.hockeyfights.com/players/5195,Brett Bellemore,TRUE,http://www.hockeyfights.com/players/5745,Patrick Maroon,TRUE,3,7,43,75,383,3,59,13
122988,http://www.hockeyfights.com/fights/122988,"Mar 02, 2014",http://www.hockeyfights.com/games/158544,http://www.hockeyfights.com/teams/13,Florida Panthers,http://www.hockeyfights.com/teams/19,New York Islanders,http://www.hockeyfights.com/players/598,Krys Barch,TRUE,http://www.hockeyfights.com/players/31,Eric Boulton,TRUE,1,2,25,124,846,107,3,14
122932,http://www.hockeyfights.com/fights/122932,"Mar 01, 2014",http://www.hockeyfights.com/games/158541,http://www.hockeyfights.com/teams/5,Calgary Flames,http://www.hockeyfights.com/teams/12,Edmonton Oilers,http://www.hockeyfights.com/players/5552,Kevin Westgarth,TRUE,http://www.hockeyfights.com/players/4522,Luke Gazdic,TRUE,1,10,16,289,2258,2,282,5
122923,http://www.hockeyfights.com/fights/122923,"Mar 01, 2014",http://www.hockeyfights.com/games/158535,http://www.hockeyfights.com/teams/13,Florida Panthers,http://www.hockeyfights.com/teams/9,Columbus Blue Jackets,http://www.hockeyfights.com/players/13018,Dmitry Kulikov,TRUE,http://www.hockeyfights.com/players/2158,Derek MacKenzie,TRUE,2,18,19,43,111,1,10,32
122922,http://www.hockeyfights.com/fights/122922,"Mar 01, 2014",http://www.hockeyfights.com/games/158533,http://www.hockeyfights.com/teams/18,New Jersey Devils,http://www.hockeyfights.com/teams/19,New York Islanders,http://www.hockeyfights.com/players/6930,Ryan Carter,FALSE,http://www.hockeyfights.com/players/7417,Travis Hamonic,TRUE,3,15,23,49,101,1,32,16
122921,http://www.hockeyfights.com/fights/122921,"Mar 01, 2014",http://www.hockeyfights.com/games/158533,http://www.hockeyfights.com/teams/18,New Jersey Devils,http://www.hockeyfights.com/teams/19,New York Islanders,http://www.hockeyfights.com/players/1425,Steve Bernier,TRUE,http://www.hockeyfights.com/players/7417,Travis Hamonic,TRUE,3,5,42,45,180,0,41,4
122878,http://www.hockeyfights.com/fights/122878,"Feb 28, 2014",http://www.hockeyfights.com/games/158531,http://www.hockeyfights.com/teams/26,St. Louis Blues,http://www.hockeyfights.com/teams/1,Anaheim Ducks,http://www.hockeyfights.com/players/5007,David Backes,TRUE,http://www.hockeyfights.com/players/1785,Corey Perry,TRUE,1,11,40,50,82,8,6,36
122850,http://www.hockeyfights.com/fights/122850,"Feb 27, 2014",http://www.hockeyfights.com/games/158527,http://www.hockeyfights.com/teams/15,Minnesota Wild,http://www.hockeyfights.com/teams/12,Edmonton Oilers,http://www.hockeyfights.com/players/1763,Clayton Stoner,TRUE,http://www.hockeyfights.com/players/4522,Luke Gazdic,TRUE,2,10,22,149,967,3,143,3
122849,http://www.hockeyfights.com/fights/122849,"Feb 27, 2014",http://www.hockeyfights.com/games/158525,http://www.hockeyfights.com/teams/6,Carolina Hurricanes,http://www.hockeyfights.com/teams/10,Dallas Stars,http://www.hockeyfights.com/players/2110,Ron Hainsey,TRUE,http://www.hockeyfights.com/players/5239,Antoine Roussel,TRUE,3,5,36,159,993,150,5,4
122847,http://www.hockeyfights.com/fights/122847,"Feb 27, 2014",http://www.hockeyfights.com/games/158524,http://www.hockeyfights.com/teams/23,Arizona Coyotes,http://www.hockeyfights.com/teams/31,Winnipeg Jets,http://www.hockeyfights.com/players/1454,Robert Klinkhammer,TRUE,http://www.hockeyfights.com/players/5348,Zach Bogosian,TRUE,1,1,18,61,291,1,58,2
122848,http://www.hockeyfights.com/fights/122848,"Feb 27, 2014",http://www.hockeyfights.com/games/158523,http://www.hockeyfights.com/teams/27,Tampa Bay Lightning,http://www.hockeyfights.com/teams/17,Nashville Predators,http://www.hockeyfights.com/players/2278,B.J. Crombeen,TRUE,http://www.hockeyfights.com/players/2367,Rich Clune,TRUE,2,9,22,61,253,4,33,24
122846,http://www.hockeyfights.com/fights/122846,"Feb 27, 2014",http://www.hockeyfights.com/games/158517,http://www.hockeyfights.com/teams/28,Toronto Maple Leafs,http://www.hockeyfights.com/teams/19,New York Islanders,http://www.hockeyfights.com/players/838,Tim Gleason,TRUE,http://www.hockeyfights.com/players/31,Eric Boulton,TRUE,2,10,4,152,959,6,146,0
122246,http://www.hockeyfights.com/fights/122246,"Feb 08, 2014",http://www.hockeyfights.com/games/158510,http://www.hockeyfights.com/teams/1,Anaheim Ducks,http://www.hockeyfights.com/teams/17,Nashville Predators,http://www.hockeyfights.com/players/617,Bryan Allen,TRUE,http://www.hockeyfights.com/players/2367,Rich Clune,TRUE,2,17,17,63,279,24,5,34
122245,http://www.hockeyfights.com/fights/122245,"Feb 08, 2014",http://www.hockeyfights.com/games/158504,http://www.hockeyfights.com/teams/21,Ottawa Senators,http://www.hockeyfights.com/teams/3,Boston Bruins,http://www.hockeyfights.com/players/2910,Zack Smith,TRUE,http://www.hockeyfights.com/players/16499,Kevan Miller,TRUE,1,17,18,271,1788,10,260,1
122244,http://www.hockeyfights.com/fights/122244,"Feb 08, 2014",http://www.hockeyfights.com/games/158503,http://www.hockeyfights.com/teams/31,Winnipeg Jets,http://www.hockeyfights.com/teams/26,St. Louis Blues,http://www.hockeyfights.com/players/2987,Mark Stuart,TRUE,http://www.hockeyfights.com/players/2322,Chris Stewart,TRUE,1,18,50,73,152,5,53,15
122243,http://www.hockeyfights.com/fights/122243,"Feb 08, 2014",http://www.hockeyfights.com/games/158503,http://www.hockeyfights.com/teams/31,Winnipeg Jets,http://www.hockeyfights.com/teams/26,St. Louis Blues,http://www.hockeyfights.com/players/1493,Chris Thorburn,TRUE,http://www.hockeyfights.com/players/1602,Ryan Reaves,TRUE,1,12,35,140,904,10,99,31
122176,http://www.hockeyfights.com/fights/122176,"Feb 07, 2014",http://www.hockeyfights.com/games/158499,http://www.hockeyfights.com/teams/13,Florida Panthers,http://www.hockeyfights.com/teams/6,Carolina Hurricanes,http://www.hockeyfights.com/players/9031,Erik Gudbranson,TRUE,http://www.hockeyfights.com/players/5195,Brett Bellemore,TRUE,2,14,31,51,190,8,13,30
122135,http://www.hockeyfights.com/fights/122135,"Feb 05, 2014",http://www.hockeyfights.com/games/158483,http://www.hockeyfights.com/teams/24,Pittsburgh Penguins,http://www.hockeyfights.com/teams/4,Buffalo Sabres,http://www.hockeyfights.com/players/2511,Deryk Engelland,TRUE,http://www.hockeyfights.com/players/5006,John Scott,TRUE,1,12,17,302,1704,21,266,15
122110,http://www.hockeyfights.com/fights/122110,"Feb 04, 2014",http://www.hockeyfights.com/games/158479,http://www.hockeyfights.com/teams/19,New York Islanders,http://www.hockeyfights.com/teams/30,Washington Capitals,http://www.hockeyfights.com/players/4999,Matt Martin,TRUE,http://www.hockeyfights.com/players/7397,Tyson Strachan,TRUE,1,2,34,80,382,77,1,2
122111,http://www.hockeyfights.com/fights/122111,"Feb 04, 2014",http://www.hockeyfights.com/games/158478,http://www.hockeyfights.com/teams/28,Toronto Maple Leafs,http://www.hockeyfights.com/teams/13,Florida Panthers,http://www.hockeyfights.com/players/8176,Jake Gardiner,TRUE,http://www.hockeyfights.com/players/13152,Jonathan Huberdeau,TRUE,2,6,31,69,188,7,26,36
122108,http://www.hockeyfights.com/fights/122108,"Feb 03, 2014",http://www.hockeyfights.com/games/158468,http://www.hockeyfights.com/teams/21,Ottawa Senators,http://www.hockeyfights.com/teams/24,Pittsburgh Penguins,http://www.hockeyfights.com/players/2910,Zack Smith,TRUE,http://www.hockeyfights.com/players/5388,Robert Bortuzzo,TRUE,1,2,6,174,1082,48,74,52
122031,http://www.hockeyfights.com/fights/122031,"Feb 01, 2014",http://www.hockeyfights.com/games/158458,http://www.hockeyfights.com/teams/21,Ottawa Senators,http://www.hockeyfights.com/teams/28,Toronto Maple Leafs,http://www.hockeyfights.com/players/1108,Matt Kassian,TRUE,http://www.hockeyfights.com/players/1236,Frazer McLaren,TRUE,2,2,59,121,332,77,1,43
